	Nucleoplasm	N. membrane	Nucleoli	N. fibrillar c.	N. speckles	N. bodies	ER	Golgi app.	Peroxisomes	Endosomes	Lysosomes	Int. fil.	Actin fil.	F. a. sites	Microtubules	M. ends	Cyt. bridge	Mitotic spindle	MTOC	Centrosome	Lipid droplets	PM	C. Junctions	Mitochondria	Aggresome	Cytosol	C. bodies	Rods & Rings
RPS6KA5	0.5703898072242737	0.09610182046890259	0.11718735098838806	0.057686835527420044	0.06617577373981476	0.1474989652633667	0.08603189140558243	0.14698638021945953	0.0014026686549186707	0.0036545470356941223	0.0017372063593938947	0.15697461366653442	0.08997825533151627	0.1248800978064537	0.029939686879515648	0.0022706103045493364	0.10833705216646194	0.1036689504981041	0.09047036617994308	0.17513936758041382	0.08248578011989594	0.29484784603118896	0.1343611627817154	0.05671897158026695	0.014079642482101917	0.42409664392471313	0.33397176861763	0.04236925020813942
PRKAB1	0.2222835123538971	0.025901753455400467	0.23575285077095032	0.14996404945850372	0.03243790939450264	0.137214794754982	0.1285289227962494	0.06842394173145294	0.0006128813256509602	0.0024855658411979675	0.001051466097123921	0.030125215649604797	0.01919238083064556	0.029054313898086548	0.03158249333500862	0.0002841089153662324	0.06649155914783478	0.08703207224607468	0.062101203948259354	0.17750056087970734	0.08513323962688446	0.3224242329597473	0.0413862019777298	0.034490033984184265	0.005399973597377539	0.5870612263679504	0.20034310221672058	0.009664117358624935
EHMT1	0.5544074177742004	0.0688517838716507	0.15507200360298157	0.07857615500688553	0.041553910821676254	0.7458152770996094	0.054826896637678146	0.16234822571277618	0.001015002140775323	0.00029641823493875563	0.00035329844104126096	0.11167611926794052	0.07513461261987686	0.04206989333033562	0.01765131577849388	0.01810671016573906	0.07255596667528152	0.04954831674695015	0.08638978749513626	0.13647818565368652	0.002680442528799176	0.11856754124164581	0.04218883812427521	0.07902074605226517	0.016330435872077942	0.23963004350662231	0.0853469967842102	0.007404521107673645
EYA1	0.8134242296218872	0.06470300257205963	0.05368584394454956	0.017634671181440353	0.07043212652206421	0.3126981556415558	0.04173712432384491	0.12444005906581879	0.0003623545344453305	0.00013326361658982933	0.00021274489699862897	0.1359926164150238	0.08853776752948761	0.046373914927244186	0.00876572448760271	0.0017443980323150754	0.07641223818063736	0.03211415559053421	0.0492992028594017	0.11465524882078171	0.004052368458360434	0.1704346239566803	0.04544121026992798	0.07430532574653625	0.0038211317732930183	0.3291616439819336	0.210026815533638	0.00849181693047285
CHD4	0.6361023783683777	0.05442585423588753	0.20490901172161102	0.24462659657001495	0.0461098849773407	0.26312029361724854	0.051881998777389526	0.1277230829000473	0.00010474104783497751	0.00011327044921927154	0.0001310185471083969	0.08252286911010742	0.07864894717931747	0.04879181087017059	0.02629774622619152	0.004594646859914064	0.10033796727657318	0.04157765954732895	0.09242821484804153	0.10754179954528809	0.004055185243487358	0.1739788055419922	0.06931111216545105	0.12152012437582016	0.004187682643532753	0.4857247471809387	0.14292334020137787	0.001823717844672501
SMARCA4	0.36879318952560425	0.056500185281038284	0.15891440212726593	0.0729508250951767	0.14548033475875854	0.1454138457775116	0.23822961747646332	0.24276021122932434	0.00612905528396368	0.007010301575064659	0.00660823006182909	0.22800897061824799	0.1497361660003662	0.2722838222980499	0.06881392747163773	0.0063098096288740635	0.13517622649669647	0.07616223394870758	0.17911475896835327	0.18794867396354675	0.13897696137428284	0.35338088870048523	0.19138045608997345	0.3198685646057129	0.02834239788353443	0.4417002499103546	0.12932227551937103	0.03781329467892647
MBTD1	0.3220440149307251	0.01184164360165596	0.3156120181083679	0.09664104133844376	0.04489224776625633	0.24977293610572815	0.10112576931715012	0.24220417439937592	0.0027197161689400673	0.0038628384936600924	0.0045386492274701595	0.12666858732700348	0.04403635114431381	0.06722686439752579	0.021902207285165787	0.008402200415730476	0.11138661205768585	0.11671506613492966	0.08498270809650421	0.1751922070980072	0.021522166207432747	0.25796350836753845	0.081277996301651	0.11684149503707886	0.011082549579441547	0.6921634674072266	0.07573802769184113	0.016738925129175186
BRCA1	0.2508017420768738	0.060671307146549225	0.386555552482605	0.07716721296310425	0.05134735256433487	0.13380631804466248	0.12605726718902588	0.2716563045978546	0.02022864669561386	0.020702093839645386	0.01828591898083687	0.13215996325016022	0.08558942377567291	0.169122576713562	0.039456430822610855	0.013167018070816994	0.10002971440553665	0.12657463550567627	0.10909106582403183	0.1687825322151184	0.1845216304063797	0.2754514515399933	0.0715034082531929	0.09955602884292603	0.017955519258975983	0.6342331171035767	0.07555267959833145	0.018767498433589935
KAT2A	0.6426103115081787	0.09826788306236267	0.09965403378009796	0.06821015477180481	0.12976545095443726	0.2517387270927429	0.09663383662700653	0.3412254750728607	0.009955857880413532	0.0023879907093942165	0.0017234464175999165	0.10159867256879807	0.08932874351739883	0.060228873044252396	0.015265529043972492	0.00478047551587224	0.11606793105602264	0.07379430532455444	0.06653756648302078	0.30105775594711304	0.0259450264275074	0.2942197024822235	0.07685536891222	0.08136697113513947	0.023055681958794594	0.32126396894454956	0.11055201292037964	0.008822718635201454
HDAC4	0.16627728939056396	0.0054801711812615395	0.1100359708070755	0.030826957896351814	0.005077979527413845	0.11346142739057541	0.0982828214764595	0.0283467136323452	0.00024416553787887096	0.0019358783029019833	0.0006824944284744561	0.015719261020421982	0.0050272042863070965	0.017550725489854813	0.004084012471139431	1.6614589185337536e-05	0.019313860684633255	0.023789213970303535	0.008172315545380116	0.036608658730983734	0.47194206714630127	0.23772183060646057	0.02055123820900917	0.008433982729911804	0.0017405352555215359	0.6815984845161438	0.06964542716741562	0.006958136335015297
