filename,if_plate_id,position,sample,locations,antibody,ensembl_ids,gene_names
B2AI_1_untreated_H8_R6_,B2AI_1_untreated,H8,R6,,HPA035977,ENSG00000167548,
B2AI_1_untreated_G5_R1_,B2AI_1_untreated,G5,R1,,HPA037708,ENSG00000178999,
B2AI_1_untreated_G5_R2_,B2AI_1_untreated,G5,R2,,HPA037708,ENSG00000178999,
B2AI_1_untreated_G5_R3_,B2AI_1_untreated,G5,R3,,HPA037708,ENSG00000178999,
B2AI_1_untreated_G5_R4_,B2AI_1_untreated,G5,R4,,HPA037708,ENSG00000178999,
B2AI_1_untreated_G5_R5_,B2AI_1_untreated,G5,R5,,HPA037708,ENSG00000178999,
B2AI_1_untreated_G5_R6_,B2AI_1_untreated,G5,R6,,HPA037708,ENSG00000178999,
B2AI_1_untreated_G5_R7_,B2AI_1_untreated,G5,R7,,HPA037708,ENSG00000178999,
B2AI_1_untreated_G5_R8_,B2AI_1_untreated,G5,R8,,HPA037708,ENSG00000178999,
B2AI_1_untreated_B5_R1_,B2AI_1_untreated,B5,R1,,HPA037988,ENSG00000132510,
B2AI_1_untreated_B5_R2_,B2AI_1_untreated,B5,R2,,HPA037988,ENSG00000132510,
B2AI_1_untreated_B5_R3_,B2AI_1_untreated,B5,R3,,HPA037988,ENSG00000132510,
B2AI_1_untreated_B5_R4_,B2AI_1_untreated,B5,R4,,HPA037988,ENSG00000132510,
B2AI_1_untreated_B5_R5_,B2AI_1_untreated,B5,R5,,HPA037988,ENSG00000132510,
B2AI_1_untreated_B5_R6_,B2AI_1_untreated,B5,R6,,HPA037988,ENSG00000132510,
B2AI_1_untreated_B5_R7_,B2AI_1_untreated,B5,R7,,HPA037988,ENSG00000132510,
B2AI_1_untreated_B5_R8_,B2AI_1_untreated,B5,R8,,HPA037988,ENSG00000132510,
B2AI_1_untreated_A5_R1_,B2AI_1_untreated,A5,R1,,HPA038244,ENSG00000126012,
B2AI_1_untreated_A5_R2_,B2AI_1_untreated,A5,R2,,HPA038244,ENSG00000126012,
B2AI_1_untreated_A5_R3_,B2AI_1_untreated,A5,R3,,HPA038244,ENSG00000126012,
B2AI_1_untreated_A5_R5_,B2AI_1_untreated,A5,R5,,HPA038244,ENSG00000126012,
B2AI_1_untreated_A5_R6_,B2AI_1_untreated,A5,R6,,HPA038244,ENSG00000126012,
B2AI_1_untreated_A5_R7_,B2AI_1_untreated,A5,R7,,HPA038244,ENSG00000126012,
B2AI_1_untreated_A5_R8_,B2AI_1_untreated,A5,R8,,HPA038244,ENSG00000126012,
B2AI_1_untreated_A9_R1_,B2AI_1_untreated,A9,R1,,HPA042866,ENSG00000005483,
B2AI_1_untreated_A9_R4_,B2AI_1_untreated,A9,R4,,HPA042866,ENSG00000005483,
B2AI_1_untreated_A9_R5_,B2AI_1_untreated,A9,R5,,HPA042866,ENSG00000005483,
B2AI_1_untreated_A9_R6_,B2AI_1_untreated,A9,R6,,HPA042866,ENSG00000005483,
B2AI_1_untreated_A9_R7_,B2AI_1_untreated,A9,R7,,HPA042866,ENSG00000005483,
B2AI_1_untreated_A9_R8_,B2AI_1_untreated,A9,R8,,HPA042866,ENSG00000005483,
B2AI_1_untreated_D5_R1_,B2AI_1_untreated,D5,R1,,HPA043135,ENSG00000168769,
B2AI_1_untreated_D5_R2_,B2AI_1_untreated,D5,R2,,HPA043135,ENSG00000168769,
B2AI_1_untreated_D5_R3_,B2AI_1_untreated,D5,R3,,HPA043135,ENSG00000168769,
B2AI_1_untreated_D5_R6_,B2AI_1_untreated,D5,R6,,HPA043135,ENSG00000168769,
B2AI_1_untreated_D5_R7_,B2AI_1_untreated,D5,R7,,HPA043135,ENSG00000168769,
B2AI_1_untreated_D5_R8_,B2AI_1_untreated,D5,R8,,HPA043135,ENSG00000168769,
B2AI_1_untreated_H9_R1_,B2AI_1_untreated,H9,R1,,HPA043837,ENSG00000149923,
B2AI_1_untreated_H9_R2_,B2AI_1_untreated,H9,R2,,HPA043837,ENSG00000149923,
B2AI_1_untreated_H9_R3_,B2AI_1_untreated,H9,R3,,HPA043837,ENSG00000149923,
B2AI_1_untreated_H9_R8_,B2AI_1_untreated,H9,R8,,HPA043837,ENSG00000149923,
B2AI_1_untreated_C6_R1_,B2AI_1_untreated,C6,R1,,HPA043870,ENSG00000096968,
B2AI_1_untreated_C6_R2_,B2AI_1_untreated,C6,R2,,HPA043870,ENSG00000096968,
B2AI_1_untreated_C6_R3_,B2AI_1_untreated,C6,R3,,HPA043870,ENSG00000096968,
B2AI_1_untreated_C6_R4_,B2AI_1_untreated,C6,R4,,HPA043870,ENSG00000096968,
B2AI_1_untreated_C6_R5_,B2AI_1_untreated,C6,R5,,HPA043870,ENSG00000096968,
B2AI_1_untreated_C6_R6_,B2AI_1_untreated,C6,R6,,HPA043870,ENSG00000096968,
B2AI_1_untreated_C6_R7_,B2AI_1_untreated,C6,R7,,HPA043870,ENSG00000096968,
B2AI_1_untreated_C6_R8_,B2AI_1_untreated,C6,R8,,HPA043870,ENSG00000096968,
B2AI_1_untreated_E7_R1_,B2AI_1_untreated,E7,R1,,HPA044342,ENSG00000131791,
B2AI_1_untreated_E7_R2_,B2AI_1_untreated,E7,R2,,HPA044342,ENSG00000131791,
B2AI_1_untreated_E7_R3_,B2AI_1_untreated,E7,R3,,HPA044342,ENSG00000131791,
B2AI_1_untreated_E7_R4_,B2AI_1_untreated,E7,R4,,HPA044342,ENSG00000131791,
B2AI_1_untreated_E7_R5_,B2AI_1_untreated,E7,R5,,HPA044342,ENSG00000131791,
B2AI_1_untreated_E7_R6_,B2AI_1_untreated,E7,R6,,HPA044342,ENSG00000131791,
B2AI_1_untreated_E7_R7_,B2AI_1_untreated,E7,R7,,HPA044342,ENSG00000131791,
B2AI_1_untreated_E7_R8_,B2AI_1_untreated,E7,R8,,HPA044342,ENSG00000131791,
B2AI_1_untreated_C7_R2_,B2AI_1_untreated,C7,R2,,HPA044540,ENSG00000162409,
B2AI_1_untreated_C7_R3_,B2AI_1_untreated,C7,R3,,HPA044540,ENSG00000162409,
B2AI_1_untreated_C7_R4_,B2AI_1_untreated,C7,R4,,HPA044540,ENSG00000162409,
B2AI_1_untreated_C7_R5_,B2AI_1_untreated,C7,R5,,HPA044540,ENSG00000162409,
